epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,276.773,0.42559,1.35913,0.93022,0.91249,0.8415,0.93671,0.89605,0.28651,0.99096,0.87079,0.00035015,0.00035015,0.00035015
62,281.488,0.44418,1.45587,0.92842,0.88047,0.90137,0.95118,0.90648,0.28479,0.96439,0.8699,0.000347653,0.000347653,0.000347653
63,285.61,0.40491,1.24287,0.89944,0.86212,0.89277,0.91607,0.86719,0.282,1.10396,0.87186,0.000345155,0.000345155,0.000345155
64,289.896,0.4254,1.38624,0.91789,0.871,0.90701,0.95615,0.90909,0.3042,0.81438,0.88007,0.000342658,0.000342658,0.000342658
65,294.154,0.39594,1.24754,0.89507,0.86624,0.90052,0.9564,0.9171,0.27518,0.87824,0.87738,0.00034016,0.00034016,0.00034016
66,298.596,0.397,1.37809,0.9019,0.9158,0.91967,0.9646,0.92496,0.28314,0.80022,0.87631,0.000337663,0.000337663,0.000337663
67,303.049,0.3955,1.20955,0.91072,0.86295,0.85007,0.92887,0.88312,0.30798,1.05405,0.88457,0.000335165,0.000335165,0.000335165
68,307.3,0.4238,1.30534,0.90533,0.82564,0.88774,0.94564,0.9054,0.27813,0.87388,0.87707,0.000332667,0.000332667,0.000332667
69,311.711,0.39846,1.22212,0.88851,0.93901,0.8323,0.96477,0.92148,0.2891,0.86018,0.87643,0.00033017,0.00033017,0.00033017
70,315.953,0.41158,1.21793,0.89964,0.93574,0.89491,0.97806,0.93458,0.30173,0.68375,0.88263,0.000327673,0.000327673,0.000327673
71,320.374,0.4183,1.18631,0.90212,0.92615,0.82306,0.92683,0.8799,0.29946,1.09177,0.88375,0.000325175,0.000325175,0.000325175
72,324.639,0.43095,1.26928,0.91261,0.8614,0.83695,0.92799,0.88132,0.30104,0.95096,0.88065,0.000322678,0.000322678,0.000322678
73,328.969,0.41006,1.21245,0.906,0.92611,0.88102,0.95823,0.92113,0.2794,0.8314,0.87879,0.00032018,0.00032018,0.00032018
74,333.301,0.40691,1.22796,0.89097,0.8261,0.93519,0.94723,0.91124,0.27126,0.83063,0.87532,0.000317682,0.000317682,0.000317682
75,337.517,0.38144,1.19869,0.8956,0.91553,0.92428,0.96542,0.92978,0.27693,0.80895,0.87562,0.000315185,0.000315185,0.000315185
